"United States",28.3,19.8,50.2,6.9,3.7,21.5,62.3,56.9,68.9
"Alabama",41.5,31.7,60.2,9.3,4.6,27.5,71.0,69.9,72.6
"Alaska",33.7,20.1,50.2,10.1,4.1,22.5,65.0,58.1,69.6
"Arizona",24.5,15.9,48.0,5.9,3.0,21.3,65.4,62.5,67.5
"Arkansas",39.7,27.8,58.6,10.3,4.9,28.3,69.9,67.4,71.9
"California",21.8,14.5,43.0,5.7,3.3,16.9,45.0,35.0,61.3
"Colorado",22.9,16.0,46.5,4.6,2.6,17.2,66.2,63.8,68.6
"Connecticut",26.9,20.1,47.1,7.0,4.0,19.9,48.1,40.2,64.2
"Delaware",21.1,14.4,43.6,5.0,2.6,18.2,60.7,57.0,65.8
"District of  Columbia",6.3,4.4,19.4,2.0,1.5,6.0,24.4,18.5,46.8
"Florida",26.1,19.1,47.3,6.0,3.4,19.8,68.0,67.5,69.0
"Georgia",28.6,19.3,51.1,6.2,3.4,19.8,66.8,64.1,69.5
"Hawaii",23.8,17.7,39.8,4.6,2.3,14.1,60.3,59.9,61.0
"Idaho",37.1,25.8,61.9,9.6,5.5,29.0,69.9,64.9,74.6
"Illinois",29.0,21.3,51.2,6.9,3.8,22.8,68.9,67.6,70.6
"Indiana",32.6,25.3,52.2,7.8,4.4,23.5,74.0,75.3,72.6
"Iowa",37.4,29.1,57.8,11.3,5.4,33.0,60.5,54.0,71.2
"Kansas",35.1,25.6,55.8,7.8,3.5,26.6,69.5,68.0,70.8
"Kentucky",37.8,26.4,60.3,9.2,4.9,26.6,74.0,71.4,76.7
"Louisiana",33.5,26.2,50.7,9.2,4.7,24.9,66.5,66.3,67.4
"Maine",26.8,17.7,49.7,7.2,3.9,20.6,74.2,68.8,80.1
"Maryland",26.2,19.2,46.1,6.3,3.5,20.1,61.9,59.4,65.1
"Mass",22.2,15.4,41.4,7.4,4.0,19.7,35.5,26.4,56.2
"Michigan",33.0,25.7,55.1,7.8,4.3,25.8,73.6,73.6,74.1
"Minnesota",25.6,18.1,53.9,5.5,3.0,23.5,69.2,65.2,75.5
"Mississippi",44.6,35.2,58.9,14.1,7.1,31.7,69.6,68.4,71.4
"Missouri",30.7,21.6,54.8,7.6,4.0,24.9,71.3,68.5,74.5
"Montana",41.3,33.1,58.8,11.5,5.7,30.2,73.9,74.5,74.3
"Nebraska",37.2,29.7,55.8,9.8,5.4,29.1,70.0,70.2,69.9
"Nevada",23.4,16.4,42.7,6.5,3.6,19.9,58.6,56.8,60.3
"New Hampshire",29.7,19.6,51.5,8.1,3.9,23.0,53.7,42.7,68.1
"New Jersey",30.0,22.2,48.1,7.6,4.1,21.4,58.3,53.8,63.9
"New Mexico",25.2,14.6,46.8,7.1,3.0,21.3,64.8,57.6,70.1
"New York",25.1,16.7,44.7,6.1,3.3,18.0,57.8,52.7,63.3
"North Carolina",32.8,22.9,55.5,7.2,3.7,23.3,70.7,68.7,72.9
"North Dakota",49.8,39.9,63.6,16.9,7.8,40.6,76.3,76.8,74.2
"Ohio",31.2,22.2,53.5,7.9,3.9,24.9,73.7,73.2,74.7
"Oklahoma",37.4,26.1,56.9,9.0,4.5,25.5,70.5,69.1,71.6
"Oregon",21.4,13.6,44.1,5.6,3.4,16.5,56.8,47.6,68.1
"Pennsylvania",33.5,24.9,55.9,7.9,3.9,25.4,74.9,73.2,77.1
"Rhode Island",24.0,17.0,43.7,6.7,3.3,20.5,54.9,48.1,65.9
"South Carolina",37.4,29.4,56.5,9.9,5.2,28.4,69.9,68.6,71.9
"South Dakota",48.6,38.8,63.8,17.2,8.6,36.9,76.3,76.0,77.0
"Tennessee",33.2,24.4,54.6,8.4,4.3,26.0,70.2,68.9,72.3
"Texas",31.2,21.5,53.2,6.9,3.9,20.5,68.4,65.5,71.2
"Utah",32.8,24.4,53.2,5.5,2.9,18.9,68.1,65.2,71.1
"Vermont",23.4,14.3,43.3,8.1,3.2,22.1,41.3,29.0,62.0
"Virginia",30.7,22.3,52.9,6.3,3.4,21.6,69.0,68.2,70.5
"Washington",21.7,13.9,45.5,5.3,2.8,18.0,58.8,51.3,68.4
"West Virginia",45.6,31.6,62.9,14.7,6.1,34.7,74.8,72.1,76.4
"Wisconsin",32.7,22.0,59.4,8.2,3.9,28.9,75.8,73.5,78.5
"Wyoming",42.7,33.7,57.8,13.6,7.7,30.5,69.9,68.7,70.1
